# minimum track hours: 48
# region_start: NH; lon 0--360, lat 0--90; region_end: NH; lon 0--360, lat 0--90
# total no. of tracks: 16530
Trk: 23
	np: 9
	18 53.1284141541 61.2097625732 -309.106719971 100240.710938
Trk: 183
	np: 12
	6 253.113357544 46.3856697083 -533.207885742 100757.046875
	7 255.171615601 45.0453681946 -603.793762207 100538.257812
	8 256.237091064 44.1588554382 -714.024230957 100054.414062
	9 257.188690186 44.2929115295 -748.651550293 99943.3984375
	10 257.790893555 44.2977371216 -972.84576416 99558.546875
	11 265.004699707 44.8852539062 -943.677490234 99546.7109375
	12 272.409881592 48.1885681152 -1139.99816895 99348.921875
	13 278.531463623 51.7144584656 -1674.63464355 98425.796875
	14 284.17010498 55.1008872986 -2216.83959961 97201.25
	15 287.544616699 57.5573997498 -2675.77246094 96213.2734375
	16 288.039245605 60.3983230591 -2912.58935547 95968.765625
	17 287.788146973 61.1710510254 -2933.33740234 95920.1640625
Trk: 201
	np: 12
	7 329.033447266 34.5975532532 -329.56338501 101295.820312
	8 329.648254395 34.3486709595 -346.658081055 101361.0
	9 330.836761475 34.5121383667 -335.408416748 101283.546875
	10 331.171447754 35.4811286926 -323.280822754 101467.8125
	11 332.137481689 35.9456825256 -356.369354248 101302.476562
	12 333.070831299 36.1936416626 -368.302978516 101401.960938
	13 333.678894043 36.4965171814 -354.975158691 101312.625
	14 334.329681396 36.3541030884 -355.650604248 101466.375
	15 334.934295654 36.2550086975 -365.022064209 101305.742188
	16 336.278991699 36.6422424316 -365.815368652 101354.164062
	17 337.608062744 38.0363082886 -428.734619141 101069.421875
	18 338.658081055 39.0221633911 -451.432525635 101156.851562
Trk: 257
	np: 11
	9 174.273086548 56.2648582458 -2283.26318359 95916.203125
	10 180.151794434 54.9503097534 -2169.94970703 96185.703125
	11 183.597091675 55.6645584106 -1933.26879883 96330.015625
	12 186.633895874 56.8610610962 -1713.84289551 96570.0390625
	13 188.718063354 56.8373794556 -1781.62890625 96510.34375
	14 189.85458374 57.9670448303 -1651.47766113 96759.7109375
	15 189.427185059 59.6982803345 -1574.6159668 96946.8984375
	16 187.25692749 60.3398895264 -1357.89379883 97231.265625
	17 183.660949707 60.877620697 -1259.09814453 97475.7578125
	18 180.697219849 61.3575973511 -1164.94116211 97708.9453125
	19 173.60244751 61.6454162598 -884.958435059 98606.515625
Trk: 259
	np: 15
	9 146.663009644 49.6089782715 -505.78894043 100045.125
	10 152.153076172 50.5027656555 -585.738220215 100005.992188
	11 156.606887817 50.6196975708 -752.063293457 99716.3515625
	12 159.963928223 51.1555366516 -729.256103516 99321.8671875
	13 162.631744385 50.7719116211 -776.415527344 98988.328125
	14 170.957977295 48.5203475952 -746.525939941 98934.5546875
	15 173.209259033 49.4473228455 -628.121337891 98641.1875
	16 183.402511597 48.9179801941 -535.057434082 98585.7109375
	17 186.549987793 50.05418396 -585.731628418 98562.0625
	18 191.986480713 50.2330474854 -509.814971924 98971.3671875
	19 193.600296021 53.5147285461 -498.329956055 98817.3984375
	20 192.60144043 57.7683372498 -549.24822998 99141.9296875
	21 192.555526733 58.8896636963 -572.537658691 99213.71875
	22 187.630432129 59.821975708 -542.787353516 99356.171875
	23 188.988754272 61.4613800049 -500.010925293 99744.7890625
Trk: 302
	np: 10
	12 243.917877197 43.397605896 -457.40737915 100734.335938
	13 245.328338623 43.7942085266 -536.423400879 100816.671875
	14 246.77355957 43.7527961731 -635.987548828 100729.328125
	15 250.266403198 43.8936462402 -765.719604492 100590.085938
	16 253.104324341 43.7953491211 -763.346191406 100372.617188
	17 254.483276367 43.4243850708 -740.156738281 100532.132812
	18 256.726379395 42.1686706543 -541.094909668 100807.546875
	19 257.284423828 38.6938285828 -673.421813965 100494.226562
	20 257.863464355 36.4989891052 -688.464599609 100203.40625
	21 258.298278809 34.8381958008 -413.553619385 100791.625
Trk: 320
	np: 27
	13 303.10256958 30.4139060974 -1936.39855957 98250.5859375
	14 303.037384033 32.0326766968 -2035.43261719 98307.8671875
	15 302.877441406 33.5603675842 -2247.08984375 97984.046875
	16 301.765075684 34.4557037354 -2133.47949219 98188.8828125
	17 302.142089844 35.5408248901 -2003.140625 98339.53125
	18 301.569274902 35.9882125854 -1927.83312988 98711.390625
	19 300.994995117 36.4290046692 -1956.88110352 98655.5546875
	20 301.181549072 36.9722366333 -1842.25170898 99033.5234375
	21 302.928771973 37.7095489502 -1881.13256836 98941.9453125
	22 303.500976562 37.259929657 -1743.79284668 99275.4296875
	23 305.170379639 37.682762146 -1593.92553711 99362.40625
	24 306.061157227 38.0257606506 -1607.8137207 99463.6875
	25 306.850341797 38.090423584 -1446.82983398 99561.4140625
	26 308.489990234 36.6782112122 -1359.8939209 99739.015625
	27 309.126953125 36.4826622009 -1283.46533203 99790.4375
	28 310.488983154 36.0469093323 -1141.55163574 100059.703125
	29 311.130615234 35.8278770447 -1179.69702148 99902.5546875
	30 311.906768799 34.3287963867 -1150.86035156 100102.179688
	31 313.473510742 34.3868560791 -1262.60327148 99782.921875
	32 314.477996826 33.397190094 -1318.93164062 99748.6875
	33 315.262756348 33.4124031067 -1240.03417969 99782.953125
	34 316.421234131 31.3926544189 -1234.50561523 99757.921875
	35 317.337738037 30.3951873779 -1258.50695801 99551.3046875
	36 317.035095215 29.8808364868 -1309.64562988 99603.0546875
	37 316.750793457 29.3921508789 -1320.95849609 99419.8359375
	38 317.622070312 28.4067001343 -1243.90649414 99530.7890625
	39 317.327270508 27.8991737366 -1161.37939453 99513.125
Trk: 338
	np: 9
	14 344.740966797 63.7452850342 -1721.24475098 98323.921875
	15 348.995300293 64.7635498047 -1641.35852051 98280.3203125
	16 352.8722229 64.154296875 -1456.05700684 98553.8125
	17 357.166625977 64.8601837158 -1292.07958984 98717.7265625
	18 2.20943331718 65.4070663452 -1111.48718262 98902.453125
	19 11.2360143661 66.1249237061 -938.894958496 98959.8359375
	20 14.4083795547 66.3516693115 -870.30291748 98948.2109375
	21 21.3760375977 65.7881393433 -610.678894043 99107.3671875
	22 27.7566261292 64.7726211548 -523.219909668 99397.5
Trk: 354
	np: 9
	15 217.784790039 47.6888809204 -339.995056152 100849.390625
	16 221.550964355 49.0333786011 -559.251831055 100551.945312
	17 225.493774414 48.6626548767 -656.687011719 100595.859375
	18 229.140380859 47.8590927124 -877.762207031 100412.648438
	19 232.016265869 47.6971855164 -917.887145996 100520.578125
	20 234.02444458 45.9566040039 -767.834106445 100674.484375
	21 235.16217041 45.3080101013 -521.131347656 101072.820312
	22 238.352050781 44.8687553406 -320.79876709 101256.851562
	23 249.602600098 42.4294548035 -345.562683105 100974.09375
Trk: 372
	np: 11
	16 57.5154647827 66.0887069702 -764.363830566 99173.671875
	17 64.0230026245 68.5653991699 -786.11114502 99195.7265625
	18 68.7551345825 70.4930419922 -856.198364258 99194.3203125
	19 78.75440979 71.6543807983 -977.733825684 98826.5078125
	20 86.2197265625 75.8035812378 -1285.9005127 98561.8984375
	21 90.0 78.5312423706 -1403.13232422 98433.09375
	22 97.099357605 80.7878494263 -1267.5333252 98344.234375
	23 90.0 83.4703369141 -1444.52697754 98295.015625
